sa2_maincode_2016,tot_p_p,age_20_24_yr_p,age_25_34_yr_p,age_35_44_yr_p,age_45_54_yr_p,age_55_64_yr_p,age_65_74_yr_p,age_75_84_yr_p,age_85ov_p,indigenous_p_tot_p,birthplace_australia_p,lang_spoken_home_eng_only_p,high_yr_schl_comp_yr_12_eq_p,age_20_24_percent,age_25_34_percent,age_35_44_percent,age_45_54_percent,age_55_64_percent,age_65_74_percent,age_75_84_percent,age_85ov_percent,indigenous_percent,birthplace_australia_percent,lang_eng_only_percent,high_yr_12_comp_percent
215021399,5879,285,667,645,825,870,575,313,155,173,4772,4967,1370,0.04847763225038272,0.11345466916142201,0.10971253614560299,0.14032998809321312,0.14798435108011568,0.09780574927708793,0.05324034699778874,0.02636502806599762,0.029426773260758633,0.8117026705221977,0.8448715767987753,0.23303282871236605
215021469,18068,1264,2602,2084,2097,2181,1798,1065,481,964,13823,14355,5146,0.06995793668363959,0.14401151206553023,0.11534204117777286,0.11606154527341156,0.12071064866061545,0.0995129510737215,0.05894398937347797,0.026621651538631837,0.053353996015054236,0.7650542395395173,0.7944985609918087,0.28481292893513394
215021470,14555,837,1857,1677,1842,1753,1519,970,416,545,11272,11565,4194,0.05750601167983511,0.12758502232909652,0.11521813809687392,0.126554448643078,0.12043971143936791,0.10436276193747852,0.06664376502919958,0.028581243558914463,0.037444177258673994,0.77444177258674,0.7945723119203023,0.28814840261078667
215031400,6200,195,469,549,859,1034,827,583,336,67,5203,5476,1562,0.031451612903225803,0.07564516129032257,0.08854838709677419,0.1385483870967742,0.1667741935483871,0.13338709677419355,0.09403225806451612,0.05419354838709677,0.010806451612903226,0.8391935483870968,0.8832258064516129,0.25193548387096776
215031401,6651,269,497,642,924,1067,1034,552,187,107,5800,6114,1438,0.040445045857765746,0.07472560517215457,0.09652683806946324,0.13892647722147045,0.1604270034581266,0.1554653435573598,0.08299503834009923,0.028116072771011878,0.01608780634491054,0.872049315892347,0.9192602616147948,0.21620808900917154
215031402,3893,175,358,356,486,545,515,430,197,91,3313,3460,878,0.04495247880811713,0.09195992807603391,0.091446185461084,0.12483945543282815,0.1399948625738505,0.13228872334960184,0.11045466221423067,0.05060364757256614,0.02337528898022091,0.8510146416645261,0.8887747238633444,0.22553300796301054
215031403,3313,212,509,358,408,469,285,141,64,259,1907,1775,822,0.06399034108059161,0.1536371868397223,0.10805916088137639,0.12315122245698762,0.14156353757923332,0.086024750980984,0.042559613643223665,0.01931783881678237,0.07817687896166617,0.5756112284938123,0.5357681859341986,0.2481134923030486
215031404,10905,676,1414,1257,1320,1255,1049,792,385,395,8484,8747,3039,0.06198991288399817,0.12966529115084824,0.11526822558459422,0.12104539202200826,0.11508482347546997,0.09619440623567171,0.07262723521320495,0.03530490600641907,0.03622191655204035,0.7779917469050894,0.802109124254929,0.27867950481430537
215031405,6374,308,588,679,980,1038,714,346,116,184,4978,5193,1471,0.04832130530279259,0.09224976466896768,0.10652651396297458,0.1537496077816128,0.16284907436460622,0.11201757138374648,0.05428302478820207,0.018198933165986822,0.028867273297772198,0.7809852525886414,0.8147160338876687,0.2307812990272984
216011406,14574,726,1546,1620,1902,1977,1731,1059,460,488,12387,13113,4001,0.04981473857554549,0.10607931933580349,0.11115685467270482,0.13050638122684233,0.13565253190613422,0.11877315767805681,0.07266364759160149,0.031563057499656925,0.03348428708659256,0.8499382461918485,0.899752984767394,0.27452998490462466
216011407,10912,517,1102,1163,1410,1477,1350,785,399,203,9144,9656,2683,0.047379032258064516,0.10098973607038123,0.10657991202346041,0.12921554252199413,0.13535557184750732,0.12371700879765396,0.07193914956011731,0.03656524926686217,0.018603372434017596,0.8379765395894428,0.8848973607038123,0.24587609970674487
