,state,divisionnm_x,pollingplaceid,pollingplacenm,premisesnm,premisessuburb,premisespostcode,latitude,longitude,liberal/national coalition votes,liberal/national coalition percentage,australian labor party votes,australian labor party percentage,totalvotes,SA2_MAIN16,SA2_NAME16,GCC_CODE16,STE_NAME16,AREASQKM16
99,ACT,Fenner,38197,Amaroo,Amaroo School,AMAROO,2914.0,-35.1653,149.129,1111,41.13,1590,58.87,2701,801041034,Amaroo,8ACTE,Australian Capital Territory,2.5872
100,ACT,Fenner,94007,Aranda (Fenner),Aranda Primary School,ARANDA,2614.0,-35.256,149.08,43,24.71,131,75.29,174,801011001,Aranda,8ACTE,Australian Capital Territory,1.5631
101,ACT,Fenner,8805,Belconnen (Fenner),Lake Ginninderra College,BELCONNEN,2617.0,-35.2391,149.07399999999998,412,28.07,1056,71.93,1468,801011002,Belconnen,8ACTE,Australian Capital Territory,4.4261
102,ACT,Fenner,32464,Belconnen FENNER PPVC,Belconnen Community Centre,BELCONNEN,2900.0,-35.23893029999999,149.069655,5915,40.75,8602,59.25,14517,801011002,Belconnen,8ACTE,Australian Capital Territory,4.4261
103,ACT,Fenner,65505,BLV Fenner PPVC,BLV Fenner,CANBERRA CITY,2601.0,-35.2790544,149.1263791,9,47.37,10,52.63,19,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
104,ACT,Fenner,65695,Bonner,Neville Bonner Primary School,BONNER,2914.0,-35.161578600000006,149.1397655,798,39.39,1228,60.61,2026,801041035,Bonner,8ACTE,Australian Capital Territory,2.7559
105,ACT,Fenner,94020,Bruce (Fenner),Radford College,BRUCE,2617.0,-35.244280200000006,149.0884075,103,45.37,124,54.63,227,801011003,Bruce,8ACTE,Australian Capital Territory,5.7975
106,ACT,Fenner,8807,Charnwood,St Thomas Aquinas Primary School,CHARNWOOD,2615.0,-35.2051,149.03,680,38.7,1077,61.3,1757,801011004,Charnwood,8ACTE,Australian Capital Territory,1.8559
107,ACT,Fenner,83851,Charnwood East,Charnwood Dunlop Primary School,CHARNWOOD,2615.0,-35.1954335,149.03709640000002,249,33.83,487,66.17,736,801011004,Charnwood,8ACTE,Australian Capital Territory,1.8559
108,ACT,Fenner,66144,City (Fenner),Pilgrim House,CANBERRA CITY,2601.0,-35.2767018,149.1290814,59,36.65,102,63.35,161,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
109,ACT,Fenner,32465,City FENNER PPVC,Canberra Museum and Gallery,CANBERRA CITY,2601.0,-35.2805169,149.13086140000001,1541,37.57,2561,62.43,4102,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
110,ACT,Fenner,94017,Divisional Office (PREPOLL),Divisional Office,CANBERRA CITY,2601.0,-35.270926,149.129899,57,45.24,69,54.76,126,801051060,Turner,8ACTE,Australian Capital Territory,1.5377
111,ACT,Fenner,8812,Evatt,Evatt Primary School,EVATT,2617.0,-35.2071,149.076,745,36.17,1315,63.83,2060,801011007,Evatt,8ACTE,Australian Capital Territory,3.0603
112,ACT,Fenner,83853,Evatt South,Miles Franklin Primary School,EVATT,2617.0,-35.2133,149.067,369,32.48,767,67.52,1136,801011007,Evatt,8ACTE,Australian Capital Territory,3.0603
113,ACT,Fenner,8814,Florey,St Francis Xavier College,FLOREY,2615.0,-35.224000000000004,149.041,454,31.44,990,68.56,1444,801011008,Florey,8ACTE,Australian Capital Territory,2.7554
114,ACT,Fenner,65493,Forde,Burgmann Anglican School Forde,FORDE,2914.0,-35.170897499999995,149.143181,708,46.12,827,53.88,1535,801041038,Forde,8ACTE,Australian Capital Territory,1.9171
115,ACT,Fenner,83854,Franklin,Franklin Early Childhood School,FRANKLIN,2913.0,-35.1964488,149.14474199999998,591,38.98,925,61.02,1516,801041039,Franklin,8ACTE,Australian Capital Territory,2.2966
116,ACT,Fenner,34238,Fraser Central,Fraser Primary School,FRASER,2615.0,-35.1918,149.043,838,37.33,1407,62.67,2245,801011010,Fraser,8ACTE,Australian Capital Territory,2.4751
117,ACT,Fenner,94009,Giralang (Fenner),Giralang Primary School,GIRALANG,2617.0,-35.2137,149.094,89,41.78,124,58.22,213,801011011,Giralang,8ACTE,Australian Capital Territory,2.4467
118,ACT,Fenner,34240,Gungahlin,Burgmann Anglican School,GUNGAHLIN,2912.0,-35.1885,149.124,637,41.02,916,58.98,1553,801041040,Gungahlin,8ACTE,Australian Capital Territory,4.5642
120,ACT,Fenner,83848,Hall,Hall Pavillion,HALL,2618.0,-35.1704,149.072,186,45.15,226,54.85,412,801041043,Hall,8ACTE,Australian Capital Territory,2.8593
122,ACT,Fenner,47681,Harrison,Harrison School,HARRISON,2914.0,-35.19913,149.15129,864,38.99,1352,61.01,2216,801041044,Harrison,8ACTE,Australian Capital Territory,2.9168
123,ACT,Fenner,8821,Holt,Kingsford Smith School,HOLT,2615.0,-35.22694,149.02497,700,35.79,1256,64.21,1956,801011015,Holt,8ACTE,Australian Capital Territory,3.2956
124,ACT,Fenner,83855,Holt West,Kippax Uniting Church,HOLT,2615.0,-35.222463,149.0187789,272,33.96,529,66.04,801,801011015,Holt,8ACTE,Australian Capital Territory,3.2956
125,ACT,Fenner,8825,Latham,Latham Primary School,LATHAM,2615.0,-35.2202,149.034,472,31.94,1006,68.06,1478,801011017,Latham,8ACTE,Australian Capital Territory,2.7312
126,ACT,Fenner,8827,Macgregor,Macgregor Primary School,MACGREGOR,2615.0,-35.2131,149.012,654,32.0,1390,68.0,2044,801011019,Macgregor (ACT),8ACTE,Australian Capital Territory,4.2749
127,ACT,Fenner,94013,Macquarie (Fenner),Macquarie Primary School,MACQUARIE,2614.0,-35.2501,149.059,56,28.0,144,72.0,200,801011020,Macquarie,8ACTE,Australian Capital Territory,1.7004
128,ACT,Fenner,8830,Melba,Mount Rogers Primary School,MELBA,2615.0,-35.2083,149.056,594,32.95,1209,67.05,1803,801011022,Melba,8ACTE,Australian Capital Territory,2.3073
129,ACT,Fenner,32463,Ngunnawal,Ngunnawal Primary School,NGUNNAWAL,2913.0,-35.1692,149.112,905,35.55,1641,64.45,2546,801041046,Ngunnawal,8ACTE,Australian Capital Territory,4.1591
130,ACT,Fenner,32081,Nicholls,Gold Creek and Holy Spirit School,NICHOLLS,2913.0,-35.1802,149.102,1263,45.84,1492,54.16,2755,801041047,Nicholls,8ACTE,Australian Capital Territory,6.7016
131,ACT,Fenner,83857,Nicholls North,St John Paul II College,NICHOLLS,2913.0,-35.176194200000005,149.0999636,551,45.73,654,54.27,1205,801041047,Nicholls,8ACTE,Australian Capital Territory,6.7016
133,ACT,Fenner,8832,Page (Fenner),St Matthew's School,PAGE,2614.0,-35.2398,149.042,365,31.14,807,68.86,1172,801011023,Page,8ACTE,Australian Capital Territory,1.3225
134,ACT,Fenner,31626,Palmerston,Palmerston District Primary School,PALMERSTON,2913.0,-35.1975,149.12,1023,38.43,1639,61.57,2662,801041048,Palmerston,8ACTE,Australian Capital Territory,1.9481
135,ACT,Fenner,65743,Parkes (Fenner),Old Parliament House,PARKES,2600.0,-35.30196110000001,149.1299644,103,23.57,334,76.43,437,801061068,Parkes (ACT) - South,8ACTE,Australian Capital Territory,1.8118
